Date,State,Total,Category,lag_1,lag_7,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30,day_of_week,month,week,is_holiday
2019-02-11,Alabama,110926657.27586207,Beverages,110881569.9,110611045.64482759,109574036.0,110746307.7724138,97399.86391153984,110227802.95,396922.5847881751,0,2,7,0
2019-02-12,Alabama,110971744.65172413,Beverages,110926657.27586207,110656133.02068965,109619123.37586206,110791395.14827587,97399.86391155105,110272890.32586208,396922.5847881871,1,2,7,0
2019-02-13,Alabama,111016832.0275862,Beverages,110971744.65172413,110701220.39655173,109664210.75172414,110836482.52413794,97399.86391156225,110317977.70172413,396922.5847881992,2,2,7,0
2019-02-14,Alabama,111061919.40344827,Beverages,111016832.0275862,110746307.77241379,109709298.1275862,110881569.9,97399.86391157893,110363065.0775862,396922.58478821296,3,2,7,0
2019-02-15,Alabama,111107006.77931035,Beverages,111061919.40344827,110791395.14827587,109754385.50344828,110926657.27586207,97399.86391159013,110408152.45344828,396922.58478822676,4,2,7,0
2019-02-16,Alabama,111152094.15517241,Beverages,111107006.77931035,110836482.52413793,109799472.87931034,110971744.65172413,97399.86391160681,110453239.82931034,396922.58478824183,5,2,7,0
2019-02-17,Alabama,111197181.53103448,Beverages,111152094.15517241,110881569.9,109844560.25517242,111016832.0275862,97399.863911618,110498327.2051724,396922.58478825516,6,2,7,0
2019-02-18,Alabama,111242268.90689655,Beverages,111197181.53103448,110926657.27586207,109889647.63103448,111061919.40344827,97399.86391163467,110543414.58103447,396922.58478826896,0,2,8,0
2019-02-19,Alabama,111287356.28275862,Beverages,111242268.90689655,110971744.65172413,109934735.00689656,111107006.77931033,97399.86391164588,110588501.95689654,396922.5847882827,1,2,8,0
2019-02-20,Alabama,111332443.65862069,Beverages,111287356.28275862,111016832.0275862,109979822.38275862,111152094.15517242,97399.86391165882,110633589.33275862,396922.58478829777,2,2,8,0
2019-02-21,Alabama,111377531.03448276,Beverages,111332443.65862069,111061919.40344827,110024909.7586207,111197181.53103447,97399.86391167002,110678676.7086207,396922.5847883111,3,2,8,0
